secure-us.imrworldwide.com,44
api.brightcove.com,87433
markets.on.nytimes.com,1426
apiservices.krxd.net,0
beacon.krxd.net,180
cm.g.doubleclick.net,306
wt.o.nytimes.com,67
js-agent.newrelic.com,5773
js.nyt.com,19015
graphics8.nytimes.com,312749
cdn.krxd.net,76214
s1.nyt.com,107887
i1.nyt.com,1677
typeface.nytimes.com,536793
int.nyt.com,12114
static.chartbeat.com,7407
www.nytimes.com,28063
b.scorecardresearch.com,1160
ib.adnxs.com,43
p.typekit.net,70
a1.nyt.com,228419
pagead2.googlesyndication.com,9537
beacon-6.newrelic.com,20
cdn.dynamicyield.com,65578
loadm.exelator.com,0
p.rfihub.com,0
adadvisor.net,0
pnytimes.chartbeat.net,172
static01.nyt.com,260192
bs.serving-sys.com,8527
et.nytimes.com,113
ds.serving-sys.com,2567562
js.moatads.com,18562
i.w55c.net,0
api.bizographics.com,0
ads.dynamicyield.com,737
up.nytimes.com,43
krxd.nexac.com,0
load.s3.amazonaws.com,43
p.acxiom-online.com,43
