application/javascript;charset=ISO-8859-1,1
application/javascript; charset=UTF-8,2
image/jpeg,54
image/svg+xml,1
image/png,11
text/css;charset=utf-8,1
text/javascript; charset=ISO-8859-1,1
application/json,2
text/html; charset=utf-8,1
application/json;charset=UTF-8,1
image/gif,37
application/javascript,9
application/javascript;charset=utf-8,2
text/html; charset=UTF-8,2
video/x-flv,1
application/x-javascript,26
text/javascript,8
text/html,9
text/json,1
application/javascript;charset=UTF-8,1
application/x-javascript; charset=utf-8,1
application/json; charset=UTF-8,5
application/x-shockwave-flash,6
text/javascript;charset=ISO-8859-1,1
text/css,5
